Area Name,Age Group,Total,Male,Female,,,,,,,,,,,,,,,,,,
Jefferson,15-19,"1,354",696,658,,,,,,,,,,,,,,,,,,
Jefferson,20-24,"1,105",619,486,,,,,,,,,,,,,,,,,,
Jefferson,25-29,"1,121",611,510,,,,,,,,,,,,,,,,,,
Jefferson,30-34,"1,197",605,592,,,,,,,,,,,,,,,,,,
Jefferson,35-39,"1,253",649,604,,,,,,,,,,,,,,,,,,
Jefferson,40-44,"1,478",763,715,,,,,,,,,,,,,,,,,,
Jefferson,45-49,"1,942",913,"1,029",,,,,,,,,,,,,,,,,,
Jefferson,50-54,"2,561","1,204","1,357",,,,,,,,,,,,,,,,,,
Jefferson,55-59,"3,063","1,438","1,625",,,,,,,,,,,,,,,,,,
Jefferson,60-64,"3,394","1,616","1,778",,,,,,,,,,,,,,,,,,
Jefferson,65-69,"2,852","1,422","1,430",,,,,,,,,,,,,,,,,,
Jefferson,70-74,"1,878",959,919,,,,,,,,,,,,,,,,,,
Jefferson,75-79,"1,338",700,638,,,,,,,,,,,,,,,,,,
Jefferson,80-84,948,477,471,,,,,,,,,,,,,,,,,,
Jefferson,85+,826,322,504,,,,,,,,,,,,,,,,,,
Jefferson,Total,"29,872","14,798","15,074",,,,,,,,,,,,,,,,,,
King,0-4,"120,294","61,616","58,678",,,,,,,,,,,,,,,,,,
King,5-9,"113,295","57,899","55,396",,,,,,,,,,,,,,,,,,
King,10-14,"110,789","56,832","53,957",,,,,,,,,,,,,,,,,,
King,15-19,"117,514","60,118","57,396",,,,,,,,,,,,,,,,,,
King,20-24,"129,822","65,628","64,194",,,,,,,,,,,,,,,,,,
King,25-29,"160,656","81,708","78,948",,,,,,,,,,,,,,,,,,
King,30-34,"152,061","77,549","74,512",,,,,,,,,,,,,,,,,,
King,35-39,"149,158","75,962","73,196",,,,,,,,,,,,,,,,,,
King,40-44,"147,632","75,601","72,031",,,,,,,,,,,,,,,,,,
King,45-49,"147,837","74,745","73,092",,,,,,,,,,,,,,,,,,
King,50-54,"143,295","71,813","71,482",,,,,,,,,,,,,,,,,,
King,55-59,"126,272","61,981","64,291",,,,,,,,,,,,,,,,,,
King,60-64,"101,945","49,447","52,498",,,,,,,,,,,,,,,,,,
King,65-69,"67,317","32,165","35,152",,,,,,,,,,,,,,,,,,
King,70-74,"45,430","20,930","24,500",,,,,,,,,,,,,,,,,,
King,75-79,"35,200","15,485","19,715",,,,,,,,,,,,,,,,,,
King,80-84,"28,948","11,429","17,519",,,,,,,,,,,,,,,,,,
King,85+,"33,784","11,182","22,602",,,,,,,,,,,,,,,,,,
King,Total,"1,931,249","962,090","969,159",,,,,,,,,,,,,,,,,,
Kitsap,0-4,"14,831","7,515","7,316",,,,,,,,,,,,,,,,,,
Kitsap,5-9,"15,139","7,726","7,413",,,,,,,,,,,,,,,,,,
Kitsap,10-14,"15,987","8,309","7,678",,,,,,,,,,,,,,,,,,
Kitsap,15-19,"17,259","9,024","8,235",,,,,,,,,,,,,,,,,,
Kitsap,20-24,"18,696","11,108","7,588",,,,,,,,,,,,,,,,,,
Kitsap,25-29,"16,880","9,243","7,637",,,,,,,,,,,,,,,,,,
Kitsap,30-34,"14,394","7,467","6,927",,,,,,,,,,,,,,,,,,
Kitsap,35-39,"14,334","7,269","7,065",,,,,,,,,,,,,,,,,,
Kitsap,40-44,"16,189","7,936","8,253",,,,,,,,,,,,,,,,,,
Kitsap,45-49,"19,029","9,472","9,557",,,,,,,,,,,,,,,,,,
Kitsap,50-54,"19,753","9,665","10,088",,,,,,,,,,,,,,,,,,
Kitsap,55-59,"18,878","9,249","9,629",,,,,,,,,,,,,,,,,,
Kitsap,60-64,"16,468","7,962","8,506",,,,,,,,,,,,,,,,,,
Kitsap,65-69,"11,646","5,737","5,909",,,,,,,,,,,,,,,,,,
Kitsap,70-74,"7,506","3,678","3,828",,,,,,,,,,,,,,,,,,
Kitsap,75-79,"5,375","2,460","2,915",,,,,,,,,,,,,,,,,,
Kitsap,80-84,"4,259","1,764","2,495",,,,,,,,,,,,,,,,,,
Kitsap,85+,"4,510","1,571","2,939",,,,,,,,,,,,,,,,,,
Kitsap,Total,"251,133","127,155","123,978",,,,,,,,,,,,,,,,,,
Kittitas,0-4,"2,034","1,029","1,005",,,,,,,,,,,,,,,,,,
Kittitas,5-9,"2,040","1,033","1,007",,,,,,,,,,,,,,,,,,
